Inventory MHE,Inventory container,Inventory index,Inventory max index,Item code,Item code owner,item_lot_number,item_expiration_date,Item sort key,Inventory quantity,Inventory damaged quantity,Inventory expired quantity,status
RR ASRS 001,ASRSX006834,3,8,4902505543746,1,,,,1,0,0,Initial
RR ASRS 001,ASRSX005687,2,4,4901681576036,3,,,,25,0,0,Initial
RR ASRS 001,ASRSX011771,8,8,4901681256129,3,,,,1,0,0,Initial
RR ASRS 001,ASRSX003659,3,4,4901771317280,1,,,,3,0,0,Initial
RR ASRS 001,ASRSX007528,2,8,4901681459711,1,,,,35,0,0,Initial
RR ASRS 001,ASRSX011025,1,2,4902205625315,3,,,,34,0,0,Initial
RR ASRS 001,ASRSX009794,5,8,4901681194674,3,,,,63,0,0,Initial
RR ASRS 001,ASRSX004072,2,4,4901480336015,1,,,,9,0,0,Initial
RR ASRS 001,ASRSX003649,5,8,4901478180859,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX003824,4,8,4007817104194,1,,,,24,0,0,Initial
RR ASRS 001,ASRSX003824,5,8,4007817104019,1,,,,12,0,0,Initial
RR ASRS 001,ASRSX007528,8,8,4901681467730,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX009688,2,8,4902505631993,3,,,,27,0,0,Initial
RR ASRS 001,ASRSX011552,1,8,4547452769438,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX007528,6,8,4901681861330,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX009657,5,8,4977114112911,3,,,,52,0,0,Initial
RR ASRS 001,ASRSX007310,1,2,4974214180079,1,,,,2,0,0,Initial
RR ASRS 001,ASRSX009176,1,8,4902778241226,3,,,,48,0,0,Initial
RR ASRS 001,ASRSX011552,4,8,4901681667390,1,,,,2,0,0,Initial
RR ASRS 001,ASRSX009111,5,8,4580298811930,3,,,,43,0,0,Initial
RR ASRS 001,ASRSX009688,7,8,4902505226380,3,,,,9,0,0,Initial
RR ASRS 001,ASRSX009523,8,8,4901681520626,1,,,,20,0,0,Initial
RR ASRS 001,ASRSX007310,2,2,4974214158641,1,,,,1,0,0,Initial
RR ASRS 001,ASRSX009886,8,8,4955414264028,1,,,,7,0,0,Initial
RR ASRS 001,ASRSX003908,7,8,4902506251565,3,,,,26,0,0,Initial
RR ASRS 001,ASRSX006579,6,8,4902505529634,1,,,,7,0,0,Initial
RR ASRS 001,ASRSX004320,4,8,4961099833442,1,,,,8,0,0,Initial
RR ASRS 001,ASRSX009794,3,8,4901681194698,3,,,,70,0,0,Initial
RR ASRS 001,ASRSX004985,5,8,4902778999769,3,,,,157,0,0,Initial
RR ASRS 001,ASRSX003860,3,4,4963095062239,1,,,,8,0,0,Initial
RR ASRS 001,ASRSX007058,1,2,4902805353403,1,,,,2,0,0,Initial
RR ASRS 001,ASRSX006097,2,2,4979093083664,3,,,,32,0,0,Initial
RR ASRS 001,ASRSX011789,6,8,4901991646030,3,,,,77,0,0,Initial
RR ASRS 001,ASRSX005200,2,2,4979093575398,3,,,,48,0,0,Initial
RR ASRS 001,ASRSX011027,2,2,4979093129003,3,,,,29,0,0,Initial
RR ASRS 001,ASRSX009099,5,8,4589435553108,3,,,,4,0,0,Initial
RR ASRS 001,ASRSX011025,2,2,4902205625216,3,,,,19,0,0,Initial
RR ASRS 001,ASRSX009776,7,8,4901452116508,1,,,,8,0,0,Initial
RR ASRS 001,ASRSX009648,6,8,4902505521720,3,,,,10,0,0,Initial
RR ASRS 001,ASRSX005783,4,8,4902805352628,1,,,,2,0,0,Initial
RR ASRS 001,ASRSX009685,7,8,4902778092583,3,,,,4,0,0,Initial
RR ASRS 001,ASRSX005467,6,8,4902778274040,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX010122,2,8,4971516024186,3,,,,5,0,0,Initial
RR ASRS 001,ASRSX006504,3,8,4519001562371,1,,,,27,0,0,Initial
RR ASRS 001,ASRSX008588,1,2,4901480304168,1,,,,3,0,0,Initial
RR ASRS 001,ASRSX003860,2,4,4963095061201,1,,,,4,0,0,Initial
RR ASRS 001,ASRSX010480,6,8,4974052151224,3,,,,4,0,0,Initial
RR ASRS 001,ASRSX005990,1,2,4979093110056,3,,,,30,0,0,Initial
RR ASRS 001,ASRSX006579,5,8,4902505604850,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX009523,6,8,4901681504237,1,,,,45,0,0,Initial
RR ASRS 001,ASRSX009523,7,8,4901681459636,1,,,,27,0,0,Initial
RR ASRS 001,ASRSX005753,4,8,4901881184338,1,,,,6,0,0,Initial
RR ASRS 001,ASRSX009776,8,8,4901480163048,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX005783,5,8,4512427014059,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX011771,1,8,4902506297938,3,,,,18,0,0,Initial
RR ASRS 001,ASRSX004665,8,8,4901681336111,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX006614,7,8,4901681459674,3,,,,1,0,0,Initial
RR ASRS 001,ASRSX010320,2,8,4971910242605,3,,,,9,0,0,Initial
RR ASRS 001,ASRSX006614,5,8,4902506413420,3,,,,11,0,0,Initial
RR ASRS 001,ASRSX011661,1,1,4902505399923,3,,,,127,0,0,Initial
RR ASRS 001,ASRSX011809,2,8,4971910326985,3,,,,1,0,0,Initial
RR ASRS 001,ASRSX009839,1,4,4571192346314,3,,,,12,0,0,Initial
RR ASRS 001,ASRSX009116,7,8,4902870200329,1,,,,10,0,0,Initial
